OTU#,Genus RDP,Kingdom,Phylum,Class ,Order,Family,Genus ,Species,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
OTU46,Acidobacteria_Acidobacteria_Gp3_Bryobacter_Bryobacter_Bryobacter,Acidobacteria,Acidobacteria,Gp3,Bryobacter,Bryobacter,Bryobacter,,0,0,0,0.000137589,0.000161182,0,0,0.000105697,0.000130759,0.000114409,0.00014243,0
OTU47,Acidobacteria_Acidobacteria_Gp3_Bryobacter_Bryobacter_unknown_Bryobacter,Acidobacteria,Acidobacteria,Gp3,Bryobacter,Bryobacter,unknown,Bryobacter,0.000301159,0.000180549,0.000140004,0,0,0.000208532,0.000317104,0.000105697,0.000130759,0.00013729,0.000178037,0
OTU48,Acidobacteria_Acidobacteria_Gp3_Candidatus Solibacter_Candidatus Solibacter_Candidatus Solibacter,Acidobacteria,Acidobacteria,Gp3,Candidatus Solibacter,Candidatus Solibacter,Candidatus Solibacter,,0.001254831,0.001404269,0.001376703,0.002017978,0.002766958,0.001846997,0.001780662,0.00142691,0.002898488,0.001944947,0.001139439,0.002227723
OTU49,Acidobacteria_Acidobacteria_Gp3_Candidatus Solibacter_Candidatus Solibacter_other_Candidatus Solibacter,Acidobacteria,Acidobacteria,Gp3,Candidatus Solibacter,Candidatus Solibacter,other,Candidatus Solibacter,0,0.000100305,0,0,0,0,0,0.000105697,0,0,0,0
OTU50,Acidobacteria_Acidobacteria_Gp3_Candidatus Solibacter_Candidatus Solibacter_unknown_Candidatus Solibacter,Acidobacteria,Acidobacteria,Gp3,Candidatus Solibacter,Candidatus Solibacter,unknown,Candidatus Solibacter,0.002032826,0.002046221,0.001260034,0.001215373,0.001880457,0.001400143,0.001317202,0.00216679,0.001372968,0.001304258,0.002706167,0.000660066
OTU51,Acidobacteria_Acidobacteria_Gp3_Gp3_Gp3_Gp3,Acidobacteria,Acidobacteria,Gp3,Gp3,Gp3,Gp3,,0.019224012,0.023671963,0.017967146,0.015983306,0.017273338,0.015520734,0.019611669,0.018312018,0.01797934,0.01910624,0.041589517,0.014191419
OTU52,Acidobacteria_Acidobacteria_Gp3_Gp3_Gp3_unknown_Gp3,Acidobacteria,Acidobacteria,Gp3,Gp3,Gp3,unknown,Gp3,0.000903478,0.001524635,0.000466679,0.000802605,0.001235729,0.001012869,0.001219631,0.000951274,0.000958898,0.001075441,0.002563737,0.000825083
OTU53,Acidobacteria_Acidobacteria_Gp4_Blastocatella_Blastocatella_Blastocatella,Acidobacteria,Acidobacteria,Gp4,Blastocatella,Blastocatella,Blastocatella,,0,0,0,0,0.000107455,0.000148951,0,0.000158546,0,0.000183054,0,0
OTU54,Acidobacteria_Acidobacteria_Gp4_Blastocatella_Blastocatella_unknown_Blastocatella,Acidobacteria,Acidobacteria,Gp4,Blastocatella,Blastocatella,unknown,Blastocatella,0.00022587,0.000381159,0,0,0.0002955,0,0.000292711,0.000211394,0.000130759,0.000343226,0,0
OTU55,Acidobacteria_Acidobacteria_Gp4_Gp4_Gp4_Gp4,Acidobacteria,Acidobacteria,Gp4,Gp4,Gp4,Gp4,,0.018671887,0.016349703,0.004783461,0.010640249,0.01047683,0.012303384,0.013098839,0.010728253,0.009610775,0.011074755,0.012533827,0.003877888
OTU56,Acidobacteria_Acidobacteria_Gp4_Gp4_Gp4_unknown_Gp4,Acidobacteria,Acidobacteria,Gp4,Gp4,Gp4,unknown,Gp4,0.000501932,0.000501525,0.00011667,0.000550358,0.000349228,0.000566015,0.000634208,0.000290667,0.000370483,0.000366108,0.000356075,0.000247525
OTU57,Acidobacteria_Acidobacteria_Gp5_Gp5_Gp5_Gp5,Acidobacteria,Acidobacteria,Gp5,Gp5,Gp5,Gp5,,0.002032826,0.001364147,0.001353369,0.003302146,0.002874412,0.002830076,0.003146648,0.003461579,0.003835593,0.003958538,0.00028486,0.002062706
OTU58,Acidobacteria_Acidobacteria_Gp5_Gp5_Gp5_unknown_Gp5,Acidobacteria,Acidobacteria,Gp5,Gp5,Gp5,unknown,Gp5,0,0,0,0.000114658,0,0,0,0,0,0,0,0
OTU59,Acidobacteria_Acidobacteria_Gp6_Gp6_Gp6_Gp6,Acidobacteria,Acidobacteria,Gp6,Gp6,Gp6,Gp6,,0.008407368,0.005356283,0.008330222,0.013070996,0.014184016,0.011916111,0.012123134,0.010728253,0.012988711,0.011646798,0.002207663,0.008168317
OTU60,Acidobacteria_Acidobacteria_Gp6_Gp6_Gp6_unknown_Gp6,Acidobacteria,Acidobacteria,Gp6,Gp6,Gp6,unknown,Gp6,0.000175676,0,0.00011667,0.000183453,0.000161182,0.000297903,0,0,0,0.000205936,0,0.000247525
OTU61,Acidobacteria_Acidobacteria_Gp7_Gp7_Gp7_Gp7,Acidobacteria,Acidobacteria,Gp7,Gp7,Gp7,Gp7,,0.002735532,0.005837747,0.001540041,0.001559347,0.001477502,0.00110224,0.001317202,0.001162668,0.000937105,0.001372903,0.000462897,0.000990099
OTU62,Acidobacteria_Acidobacteria_Gp7_Gp7_Gp7_unknown_Gp7,Acidobacteria,Acidobacteria,Gp7,Gp7,Gp7,unknown,Gp7,0.000451739,0.0008225,0.000420011,0,0.000188046,0,0.000292711,0.000502061,0.000108966,0.000183054,0,0
OTU63,Acidobacteria_Holophagae_Holophagales_Holophagaceae_Geothrix,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,,,0.002133213,0.002066281,0.003616763,0.001536415,0.001934184,0.002085319,0.002195336,0.003144488,0.003726627,0.002562753,0.000178037,0.002805281
OTU64,Acidobacteria_Holophagae_Holophagales_Holophagaceae_Holophaga,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,,,0.001154445,0.001885733,0.001913384,0.000183453,0.000214909,0.000238322,0.000414675,0.000581334,0.000501242,0.000411871,0,0.000165017
OTU65,Acidobacteria_Holophagae_Holophagales_Holophagaceae_other_Geothrix,Acidobacteria,Holophagae,Holophagales,Holophagaceae,other,Geothrix,,0.000100386,0,0,0,0,0,0,0,0,0,0,0
OTU66,Acidobacteria_Holophagae_Holophagales_Holophagaceae_other_Holophaga,Acidobacteria,Holophagae,Holophagales,Holophagaceae,other,Holophaga,,0,0.000180549,0,0,0,0,0,0.000105697,0,0,0,0
OTU67,Acidobacteria_Holophagae_Holophagales_Holophagaceae_unknown_Geothrix,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unknown,Geothrix,,0.000652512,0.000682074,0.000420011,0.000160521,0.000214909,0.000506435,0.000414675,0.000449213,0.000326897,0.000388989,0,0
OTU68,Acidobacteria_Holophagae_Holophagales_Holophagaceae_unknown_Holophaga,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unknown,Holophaga,,0.000426643,0.000441342,0.000420011,0.000183453,0.000214909,0.000238322,0.000219534,0.000237818,0.000326897,0.000160172,0,0
OTU69,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,,,0.00015058,0.000120366,0.000186672,0.000229316,0.000483546,0.000327693,0.000365889,0.000158546,0.000130759,0.000297462,0,0
OTU70,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_other_Acidimicrobium,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,other,Acidimicrobium,,0.000125483,0.000320976,0.000373343,0.000114658,0,0.000119161,0.000219534,0.000237818,0,0,0,0
OTU71,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_other_Ferrimicrobium,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,other,Ferrimicrobium,,0.00022587,0.000160488,0.000350009,0.000160521,0.000322364,0.000148951,0.000146356,0.00036994,0.000283311,0,0,0
OTU72,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_other_Ferrithrix,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,other,Ferrithrix,,0.000652512,0.000802439,0.000513347,0.000137589,0.000268637,0.000148951,0.000341497,0.000343515,0.000196138,0.00013729,0,0
OTU73,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_unknown_Acidimicrobium,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,unknown,Acidimicrobium,,0.000527029,0.000421281,0.000700019,0.000389837,0.00051041,0.000268112,0.00092692,0.000607758,0.000632001,0.000594925,0.000106822,0.000660066
OTU74,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_unknown_Ferrimicrobium,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,unknown,Ferrimicrobium,,0.000326256,0.000300915,0.000583349,0.000321042,0.000617864,0.000297903,0.000536638,0.000581334,0.000283311,0.000480516,0.000391682,0.000165017
OTU75,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_unknown_Ferrithrix,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,unknown,Ferrithrix,,0.001279928,0.005276039,0.001750047,0.000527426,0.000564137,0.000387274,0.001268416,0.000713455,0.000523035,0.000594925,0.000391682,0.000742574
OTU76,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_unknown_Ilumatobacter,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,unknown,Ilumatobacter,,0.000125483,0.000320976,0.00011667,0.000206384,0.000349228,0.000238322,0.000219534,0,0.000130759,0.000480516,0,0
OTU77,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobineae_incertae_sedis_Aciditerrimonas,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobineae,incertae,sedis,Aciditerrimonas,0,0,0,0,0,0,0,0,0,0.000114409,0.001281869,0
OTU78,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobineae_incertae_sedis_other_Aciditerrimonas,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobineae,incertae,sedis,other,0,0.000100305,0,0,0,0,0,0,0,0,0,0
OTU79,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobineae_incertae_sedis_unknown_Aciditerrimonas,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobineae,incertae,sedis,unknown,0.000326256,0.000240732,0.000420011,0.000710879,0.000913365,0.000476644,0.000585423,0.000687031,0.000435863,0.000915269,0.001744766,0.00049505
OTU80,Actinobacteria_Actinobacteria_Acidimicrobiales_Iamiaceae_Iamia,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia,,,0,0.000160488,0,0.000183453,0.000134318,0.000506435,0.000146356,0.000237818,0.000108966,0.000183054,0,0
OTU81,Actinobacteria_Actinobacteria_Acidimicrobiales_Iamiaceae_unknown_Iamia,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,unknown,Iamia,,0.000577222,0.0008225,0.000956692,0.000848468,0.001370047,0.000714967,0.000634208,0.00073988,0.000435863,0.001075441,0.00014243,0.000907591
OTU82,Actinobacteria_Actinobacteria_Actinomycetales_Cellulomonadaceae_Cellulomonas,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,,,0,0,0,0,0,0.000119161,0,0,0.000130759,0,0,0
OTU83,Actinobacteria_Actinobacteria_Actinomycetales_Cellulomonadaceae_unknown_Actinotalea,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,unknown,Actinotalea,,0,0,0,0.000114658,0,0,0.000292711,0,0.000196138,0.000114409,0,0
OTU84,Actinobacteria_Actinobacteria_Actinomycetales_Cellulomonadaceae_unknown_Cellulomonas,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,unknown,Cellulomonas,,0.00015058,0,0,0,0,0,0,0,0,0,0,0
OTU85,Actinobacteria_Actinobacteria_Actinomycetales_Cellulomonadaceae_unknown_Sediminihabitans,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,unknown,Sediminihabitans,,0.000125483,0,0,0,0,0,0,0,0,0,0,0
OTU86,Actinobacteria_Actinobacteria_Actinomycetales_Cellulomonadaceae_unknown_Tropheryma,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,unknown,Tropheryma,,0.000100386,0,0,0.000114658,0.000134318,0,0,0,0.000108966,0.000114409,0,0.000165017
OTU87,Actinobacteria_Actinobacteria_Actinomycetales_Demequinaceae_unknown_Lysinimicrobium,Actinobacteria,Actinobacteria,Actinomycetales,Demequinaceae,unknown,Lysinimicrobium,,0.000351353,0.00020061,0.000210006,0,0.000161182,0,0.000414675,0.000237818,0.000152552,0.00013729,0,0
OTU88,Actinobacteria_Actinobacteria_Actinomycetales_Dermabacteraceae_unknown_Dermabacter,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,unknown,Dermabacter,,0,0.000120366,0.000186672,0,0,0,0,0,0,0,0,0
OTU89,Actinobacteria_Actinobacteria_Actinomycetales_Dermabacteraceae_unknown_Devriesea,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,unknown,Devriesea,,0.00015058,0.000320976,0.00011667,0.000389837,0,0,0,0.000105697,0.000108966,0,0,0.000165017
OTU90,Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Blastococcus,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,,,0,0,0,0.000114658,0,0,0,0,0,0,0,0
OTU91,Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Modestobacter,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter,,,0,0,0,0,0,0,0.000121963,0,0,0,0,0
OTU92,Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_unknown_Modestobacter,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,unknown,Modestobacter,,0,0,0,0,0,0.000119161,0,0,0,0,0,0
OTU93,Actinobacteria_Actinobacteria_Actinomycetales_Intrasporangiaceae_Tetrasphaera,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera,,,0,0,0,0.000114658,0.000188046,0,0,0,0.000108966,0.000114409,0,0
